PARENT_LEVEL_1_ID,PARENT_LEVEL_1_NAME,PARENT_LEVEL_2_ID,PARENT_LEVEL_2_NAME,PARENT_LEVEL_3_ID,PARENT_LEVEL_3_NAME,PARENT_LEVEL_4_ID,PARENT_LEVEL_4_NAME,PARENT_LEVEL_5_ID,PARENT_LEVEL_5_NAME,PARENT_LEVEL_6_ID,PARENT_LEVEL_6_NAME,PARENT_LEVEL_7_ID,PARENT_LEVEL_7_NAME
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,iHSJypSwlo5,DS BOGODOGO,U604jEokply,BOGODOGO,,,,
zmSNCYjqQGj,BURKINA FASO,QbUydxr5PH1,NORD,ZxXpTIWCHbI,PASSORE,oNJ6Dql8iPo,DS YAKO,NC5dlPlnkCT,BOKIN,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,xZLoC4b9cjL,KOSSI,B4Ra7K6HuCE,DS NOUNA,DHl6M4QkLwf,BOMBOROKUY,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,qX6MMu2XR7K,TOUGAN,rJgBc6nnZ3j,CSPS NAMASSA,uxsOsrZ1NNA,BOMPELA
zmSNCYjqQGj,BURKINA FASO,t8cSsU8HYBT,SUD OUEST,vtAkBt58BtH,BOUGOURIBA,ivXvxtoiVQX,DS DIEBOUGOU,SmOSTezfxiG,BONDIGUI,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,WY2C4llLOMR,MOUHOUN,tiEY3MitYl2,DS DEDOUGOU,mj68YizDVF5,BONDOKUY,,,,
zmSNCYjqQGj,BURKINA FASO,x35OtBOWemw,HAUTS BASSINS,f3XkEVaaPse,TUY,c6L1agxAp4X,DS HOUNDE,i6NhPvFf3lh,BONI,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,qX6MMu2XR7K,TOUGAN,G4uQr5OEsk0,CSPS BONOU,Qrh5yhERqGv,BONOU
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,xtsWdGgO3pd,KASSOUM,gm2Zi4YN4jE,CSPS DOUSSOULA,oQCCuPFoifS,BONRO
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,GKYLNXxIih7,BALE,CTtB0TPRvWc,DS BOROMO,PikEUJoaxom,BOROMO,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,VfuI1E54hNc,DI,uMGDSensSHk,CSPS BOSSE,xkf6ijt4PxB,BOSSE
zmSNCYjqQGj,BURKINA FASO,mNbmpbo6Oh3,EST,jv89XUvJt2c,TAPOA,cKNJ2FgOaS6,DS DIAPAGA,b2PnycHL6mr,BOTOU,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,qX6MMu2XR7K,TOUGAN,cT7iX0ZDE2N,CSPS GUIMOU BOUARE,bLaHiVnoAr5,BOUARE
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,,,,,,,,,,
zmSNCYjqQGj,BURKINA FASO,RAtbr3qeN3Q,PLATEAU CENTRAL,easePxZWwI4,GANZOURGOU,eKYyXbBdvmB,DS ZORGHO,Ef7V0REwd7r,BOUDRY,,,,
zmSNCYjqQGj,BURKINA FASO,TMFuUYJyGPX,CENTRE OUEST,YD5fyqihiqt,ZIRO,Hi9SesciDB0,DS SAPOUY,zfuViNr5LVQ,BOUGNOUNOU,,,,
zmSNCYjqQGj,BURKINA FASO,t8cSsU8HYBT,SUD OUEST,vtAkBt58BtH,BOUGOURIBA,,,,,,,,
zmSNCYjqQGj,BURKINA FASO,C9M7mlhBZcI,CENTRE EST,j6c8XvNzJKc,BOULGOU,,,,,,,,
zmSNCYjqQGj,BURKINA FASO,TMFuUYJyGPX,CENTRE OUEST,i2et1L7PtQX,BOULKIEMDE,,,,,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,LQfiUedkjnj,GOMBORO,VgGH684CKET,CSPS GANI,g3GDrCpu8l8,BOULLI
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,eVFAuZOzogt,DS BOULMIOUGOU,IQ2OWmNVSLp,BOULMIOUGOU,,,,
zmSNCYjqQGj,BURKINA FASO,CrqTIkTFSWU,CENTRE NORD,txbsuBw6Jk9,NAMENTENGA,WVEJjdJ2S15,DS BOULSA,Z1apZuti4EK,BOULSA,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,VfuI1E54hNc,DI,BkwcIdeB43s,CSPS OUE,zcdoEf8awbh,BOUNA
zmSNCYjqQGj,BURKINA FASO,Oh2EALVR2Pa,SAHEL,R3ylbMgLPTC,YAGHA,OUCEWyavOtS,DS SEBBA,poLWWtAGPnc,BOUNDORE,,,,
zmSNCYjqQGj,BURKINA FASO,TMFuUYJyGPX,CENTRE OUEST,TrAcgnjKVkr,SISSILI,ZHIYGgqyB19,DS LEO,oWVq47B0Iq7,BOURA,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,xZLoC4b9cjL,KOSSI,B4Ra7K6HuCE,DS NOUNA,HurgLopZRl5,BOURASSO,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,xtsWdGgO3pd,KASSOUM,RJ9kk32tZML,CSPS KASSOUM,qC68OCcybIm,BOURGOU
zmSNCYjqQGj,BURKINA FASO,CrqTIkTFSWU,CENTRE NORD,txbsuBw6Jk9,NAMENTENGA,AVb6wBstPAo,DS TOUGOURI,RW7oGoYHCsc,BOUROUM,,,,
zmSNCYjqQGj,BURKINA FASO,t8cSsU8HYBT,SUD OUEST,P4jIEv6YijB,PONI,LiwtEFCSSIT,DS GAOUA,UaQtL7aE2rQ,BOUROUM BOUROUM,,,,
zmSNCYjqQGj,BURKINA FASO,CrqTIkTFSWU,CENTRE NORD,r2kuZKi0UkY,BAM,t8FUnS1REgS,DS KONGOUSSI,GA5aN3Oub1B,BOURZANGA,,,,
zmSNCYjqQGj,BURKINA FASO,RAtbr3qeN3Q,PLATEAU CENTRAL,H4g4e0ttZLf,KOURWEOGO,rbYGKFgupK9,DS BOUSSE,doOdRufUbab,BOUSSE,,,,
zmSNCYjqQGj,BURKINA FASO,t8cSsU8HYBT,SUD OUEST,P4jIEv6YijB,PONI,LiwtEFCSSIT,DS GAOUA,JAJXzTCTg2q,BOUSSERA,,,,
zmSNCYjqQGj,BURKINA FASO,QbUydxr5PH1,NORD,Jj9lsMa30yW,ZONDOMA,mkpbDrWZr0p,DS GOURCY,Zv9TCxZvRNt,BOUSSOU,,,,
zmSNCYjqQGj,BURKINA FASO,t8cSsU8HYBT,SUD OUEST,Y9HhG5PCXia,NOUMBIEL,Lp2BjBVT63s,DS BATIE,Alk6fjdTXQk,BOUSSOUKOULA,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,qX6MMu2XR7K,TOUGAN,DlEDKQLPP7G,CSPS BOUSSOUM,zQTVHpfONhl,BOUSSOUM
zmSNCYjqQGj,BURKINA FASO,C9M7mlhBZcI,CENTRE EST,j6c8XvNzJKc,BOULGOU,QyuBzsj7V8W,DS GARANGO,Km1g77Vs62Z,BOUSSOUMA,,,,
zmSNCYjqQGj,BURKINA FASO,CrqTIkTFSWU,CENTRE NORD,ZYyFuYymjsB,SANMATENGA,Nml6rVDElLh,DS BOUSSOUMA,stCTNuyQA9A,BOUSSOUMA ,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,ptQsdjeJPC0,TOENI,CXOsQbV15Ku,CSPS NEHOUROU,eo4zX1Sr4qo,BOUSSOURE
zmSNCYjqQGj,BURKINA FASO,,,,,,,,,,,,
zmSNCYjqQGj,BURKINA FASO,x35OtBOWemw,HAUTS BASSINS,qP70IWKmadj,HOUET,DqVkgKRZz84,DS DO,H1zE6UjqMez,ARRONDISSEMENT DE DO,vVAw8rBqr4k,CAB DE SOINS ADJA AMYSNAH ,,
zmSNCYjqQGj,BURKINA FASO,x35OtBOWemw,HAUTS BASSINS,qP70IWKmadj,HOUET,DqVkgKRZz84,DS DO,HM27SS2xOZC,ARRONDISSEMENT DE KONSA,mvFgdtzVvKU,CAB DE SOINS DANKAN,,
zmSNCYjqQGj,BURKINA FASO,x35OtBOWemw,HAUTS BASSINS,qP70IWKmadj,HOUET,DqVkgKRZz84,DS DO,H1zE6UjqMez,ARRONDISSEMENT DE DO,sEOmEMT1oqa,CAB DE SOINS GNIRIKAO ,,
