ADM1,ADM1_ID,ADM2,ADM2_ID,ADM2_POP,INCIDENCE_RR_MEDIAN,INCIDENCE_RR_TSR_MEDIAN,INCIDENCE_PRESUMED_MEDIAN,INCIDENCE_CRUDE_MEDIAN,PFPR_U5_MAP,PFPR_U5_MIS,PFPR_2TO10_MAP,U5_MORTALITY_MIS,U5_MORTALITY_IHME,MORBIDITY_RISK1,MORBIDITY_MORTALITY_RISK2,ITN_ACCESS_MAP,ITN_USE_MAP,ITN_USE_RATE_MAP,PROPORTION_SEASONAL_YEARS,ITN_ACCESS_SAMPLE_AVERAGE,ITN_ACCESS_CI_LOWER_BOUND,ITN_ACCESS_CI_UPPER_BOUND,DTP3_SAMPLE_AVERAGE,DTP3_CI_LOWER_BOUND,DTP3_CI_UPPER_BOUND
CENTRE,WXDW5h0TFmT,DS BOULMIOUGOU,eVFAuZOzogt,1230251,5350.5,7868,5350.5,354,19.3,5,0.2628062665462494,39,69,9,12,0.8764218688011169,0.8503620624542236,0.9660304188728333,0.666666666666667,0.669684305731734,0.651168767287305,0.688199844176163,0.923586435846235,0.89838919141746,0.94878368027501
CENTRE NORD,CrqTIkTFSWU,DS KAYA,f6waaHr09XO,548646,529,762.5,528,460,25,11,0.2541196048259735,59,109.9,9,14,0.8236250579357147,0.822480320930481,0.9941374957561493,1,0.618635435014211,0.580281931023312,0.65698893900511,0.844919640178013,0.784703975126819,0.905135305229208
HAUTS BASSINS,x35OtBOWemw,DS ORODARA,fH9JeSQLQmL,283424,450,703,447.5,447.5,24.1,7.000000000000001,0.22126787155866623,61,105,8,13,0.8876795470714569,0.8664227426052094,0.9738514423370361,0,0.739632684028044,0.709517711101988,0.7697476569541,0.858667412859667,0.818778445891815,0.898556379827519
NORD,QbUydxr5PH1,DS THIOU,fcJ37oO4EHG,218928,239.5,310.5,239.5,239.5,20.1,11,0.19325485825538635,39,101.6,7,12,0.8280824422836304,0.8176373839378357,0.9796185493469238,0.666666666666667,0.634352098685422,0.603374925855021,0.665329271515822,0.890750812701694,0.857588648603238,0.923912976800149
BOUCLE DU MOUHOUN,awG7snlrjVy,DS TOMA,hEu36sUTBzU,253363,553,924.5,552.5,281,27,11,0.21877916902303696,51,103.7,9,14,0.8836488425731659,0.8501718640327454,0.9568666517734528,0.333333333333333,0.768060578391635,0.73670395760432,0.799417199178951,0.816604990877603,0.727147037073901,0.906062944681305
CENTRE,WXDW5h0TFmT,DS BOGODOGO,iHSJypSwlo5,1123298,3129,4601,3126.5,336.5,20.4,5,0.23313190788030624,39,69,9,12,0.8940859735012054,0.8802550733089447,0.9823907911777496,0.666666666666667,0.669684305731734,0.651168767287305,0.688199844176163,0.923586435846235,0.89838919141746,0.94878368027501
SUD OUEST,t8cSsU8HYBT,DS DIEBOUGOU,ivXvxtoiVQX,177606,703,1128,701,701,39.3,15,0.23218946903944016,112,125.9,9,14,0.8864650428295135,0.8702800273895264,0.9785968363285065,0,0.610652215607133,0.547846132770044,0.673458298444221,0.874101789494497,0.782812467485578,0.965391111503417
PLATEAU CENTRAL,RAtbr3qeN3Q,DS ZINIARE,jbmw2gdrrTV,354878,1177.5,1464.5,1172,729.5,25.7,20,0.25786638259887695,47,92.6,9,13,0.8684237599372864,0.8458880186080933,0.9687574505805969,1,0.65828488861975,0.623569353727356,0.693000423512145,0.943043557380181,0.908936729790403,0.977150384969958
HAUTS BASSINS,x35OtBOWemw,DS N DOROLA,jhyS6vGEQQm,172565,406,634.5,397,385.5,22.7,7.000000000000001,0.221704363822937,61,105,8,13,0.902201235294342,0.8797454237937927,0.9731650948524475,1,0.739632684028044,0.709517711101988,0.7697476569541,0.858667412859667,0.818778445891815,0.898556379827519
CENTRE SUD,uaydHJWFFCV,DS SAPONE,l1BXyOvdTpo,108821,645,885.5,645,618,28,15,0.2793846130371094,52,89.1,9,13,0.9018127024173737,0.880250483751297,0.9737369418144226,1,0.755167617563073,0.722810001133892,0.787525233992254,0.979748601683856,0.962779141722954,0.996718061644757
CASCADES,NMTk6usvgPW,DS BANFORA,mPenE8ZIBFC,440796,2299,2985.5,2247,439.5,25.2,6,0.2198394313454628,78,129.8,9,14,0.894716203212738,0.8780381083488464,0.9800072610378265,0,0.769313555300862,0.734800734613583,0.803826375988141,0.922990499366202,0.86835222207254,0.977628776659864
NORD,QbUydxr5PH1,DS GOURCY,mkpbDrWZr0p,275083,464,599.5,463.5,431.5,22.6,11,0.23882202059030533,39,101.6,8,13,0.8397662341594696,0.8178106248378754,0.9701399505138397,1,0.634352098685422,0.603374925855021,0.665329271515822,0.890750812701694,0.857588648603238,0.923912976800149
NORD,QbUydxr5PH1,DS YAKO,oNJ6Dql8iPo,523288,479,620,479,470.5,25,11,0.2555463910102844,39,101.6,8,13,0.8445761799812317,0.8117310404777527,0.9565134644508362,1,0.634352098685422,0.603374925855021,0.665329271515822,0.890750812701694,0.857588648603238,0.923912976800149
SAHEL,Oh2EALVR2Pa,DS DORI,oXftjVew8Cg,466004,235,327.5,235,234.5,32.1,28.999999999999996,0.21895307302474976,98,146.4,7,12,0.8118511438369751,0.7764484882354736,0.9533603191375732,0.666666666666667,0.559891201581442,0.477356877731092,0.642425525431793,0.715243102020974,0.566940840081579,0.86354536396037
CENTRE OUEST,TMFuUYJyGPX,DS TENADO,pm7av08saei,217487,642,871,633.5,497.5,29.3,27,0.2746967375278473,42,92.6,9,13,0.8617687821388245,0.8250125050544739,0.9542264342308044,0,0.657002056160195,0.620105100018289,0.693899012302102,0.935582751852275,0.904399859146526,0.966765644558024
PLATEAU CENTRAL,RAtbr3qeN3Q,DS BOUSSE,rbYGKFgupK9,204270,600,746,600,583.5,23.4,20,0.2927754521369934,47,92.6,9,13,0.8467163145542145,0.8087672591209412,0.9507169723510742,1,0.65828488861975,0.623569353727356,0.693000423512145,0.943043557380181,0.908936729790403,0.977150384969958
SAHEL,Oh2EALVR2Pa,DS GOROM GOROM,rnqP2uDjIb4,163120,931.5,1299,931.5,565.5,40.9,28.999999999999996,0.1841588169336319,98,146.4,9,14,0.7868374884128571,0.7780278623104095,0.9751145541667938,1,0.559891201581442,0.477356877731092,0.642425525431793,0.715243102020974,0.566940840081579,0.86354536396037
CENTRE EST,C9M7mlhBZcI,DS TENKODOGO,ry4dVgT4brt,250233,3532.5,4377,3532.5,919,28.9,11,0.21717090159654617,58,96.1,9,13,0.8674255609512329,0.8430391848087311,0.969918429851532,1,0.644578761252224,0.614068211445881,0.675089311058567,0.916472421859676,0.88654407819158,0.946400765527772
CENTRE NORD,CrqTIkTFSWU,DS KONGOUSSI,t8FUnS1REgS,562928,370.5,535,369,365.5,29.7,11,0.24078825116157532,59,109.9,8,13,0.8120700716972351,0.7968080043792725,0.975273460149765,1,0.618635435014211,0.580281931023312,0.65698893900511,0.844919640178013,0.784703975126819,0.905135305229208
CENTRE,WXDW5h0TFmT,DS SIG NOGHIN,tMXsltjzzmR,682097,2789,4101,2779,311.5,17.6,5,0.2621639668941498,39,69,9,12,0.8462146520614624,0.8097679615020752,0.9532561302185059,0.333333333333333,0.669684305731734,0.651168767287305,0.688199844176163,0.923586435846235,0.89838919141746,0.94878368027501
BOUCLE DU MOUHOUN,awG7snlrjVy,DS DEDOUGOU,tiEY3MitYl2,441798,1570,2625,1557.5,399,25.1,11,0.20296010375022888,51,103.7,9,14,0.9304112195968628,0.9036909341812134,0.9684498310089111,0.333333333333333,0.768060578391635,0.73670395760432,0.799417199178951,0.816604990877603,0.727147037073901,0.906062944681305
NORD,QbUydxr5PH1,DS TITAO,vQ6AJUeqBpc,225658,1263,1634,1223.5,168.5,27.2,11,0.21032842248678207,39,101.6,9,14,0.8053129613399506,0.7907272279262543,0.975313663482666,0.333333333333333,0.634352098685422,0.603374925855021,0.665329271515822,0.890750812701694,0.857588648603238,0.923912976800149
EST,mNbmpbo6Oh3,DS BOGANDE,yhs1ecKsLOc,490843,3695.5,5685.5,3695.5,331,32.1,27,0.29358938336372375,60,133.6,9,14,0.8515903353691101,0.8522635102272034,0.9969150424003601,1,0.583413627939287,0.538720189359201,0.628107066519372,0.8323229792518,0.742787561675904,0.921858396827695
